launch_month,uber_market,Done
3/1/2016 0:00,Coastal Georgia,X
3/1/2016 0:00,Coeur d'Alene,X
3/1/2016 0:00,"Huntsville, AL",X
3/1/2016 0:00,"Outer Banks, NC",X
3/1/2016 0:00,Western Arizona,X
3/1/2016 0:00,Yuma,X
4/1/2016 0:00,Cedar Rapids,X
4/1/2016 0:00,Olympia,X
5/1/2016 0:00,"Bloomington, IN",X
5/1/2016 0:00,Peninsula and SW WA,X
5/1/2016 0:00,West Lafayette,X
6/1/2016 0:00,Eastern Idaho,X
6/1/2016 0:00,Youngstown,X
7/1/2016 0:00,Eastern WV,X
7/1/2016 0:00,Florida Keys,X
7/1/2016 0:00,Gulfport-Biloxi,X
7/1/2016 0:00,"Hattiesburg, MS",X
7/1/2016 0:00,Oxford,X
7/1/2016 0:00,"San Juan, PR",X
7/1/2016 0:00,Southern Utah,X
7/1/2016 0:00,Western WV,X
8/1/2016 0:00,Billings,X
8/1/2016 0:00,Boulder,X
8/1/2016 0:00,Bozeman,X
8/1/2016 0:00,Colorado Springs,X
8/1/2016 0:00,Fort Collins,X
8/1/2016 0:00,Johnstown-Altoona,X
8/1/2016 0:00,Missoula,X
8/1/2016 0:00,Northern Montana,X
8/1/2016 0:00,Rockies,X
8/1/2016 0:00,Tri-Cities,X
8/1/2016 0:00,Tuscaloosa,X
8/1/2016 0:00,York-Gettysburg,X
9/1/2016 0:00,Eastern Washington,X
9/1/2016 0:00,Tyler,X
11/1/2016 0:00,Greater Williamsport,X
11/1/2016 0:00,"Springfield, MO",X
12/1/2016 0:00,Mayaguez,X
1/1/2017 0:00,Boone,X
1/1/2017 0:00,"Evansville, IN",X
3/1/2017 0:00,Big Island,X
3/1/2017 0:00,Bismarck,X
3/1/2017 0:00,Eau Claire,X
3/1/2017 0:00,Grand Forks,X
3/1/2017 0:00,Kauai,X
3/1/2017 0:00,La Crosse,X
3/1/2017 0:00,Lawton,X
3/1/2017 0:00,Mankato,X
3/1/2017 0:00,"Panama City, FL",X
3/1/2017 0:00,"Rochester, MN",X
3/1/2017 0:00,St Cloud,X
3/1/2017 0:00,Terre Haute,X
3/1/2017 0:00,"Tri-Cities, MI",X
3/1/2017 0:00,Wyoming,X
4/1/2017 0:00,Carbondale,X
4/1/2017 0:00,Dubuque,X
4/1/2017 0:00,NYC Suburbs,X
4/1/2017 0:00,Sioux City,X
4/1/2017 0:00,Waterloo-Cedar Falls,X
5/1/2017 0:00,Central Oregon,X
5/1/2017 0:00,Duluth,X
6/1/2017 0:00,Anchorage,X
6/1/2017 0:00,Corpus Christi,X
6/1/2017 0:00,Rio Grande Valley,X
6/1/2017 0:00,Upstate NY,X
6/1/2017 0:00,Willamette Valley,X
7/1/2017 0:00,Fairbanks,X
7/1/2017 0:00,Laredo,X
8/1/2017 0:00,Golden Triangle,X
8/1/2017 0:00,Jonesboro,X
8/1/2017 0:00,Juneau,X
8/1/2017 0:00,San Angelo,X
8/1/2017 0:00,Wichita Falls,X
9/1/2017 0:00,Monroe,X
10/1/2017 0:00,Nacogdoches,X
10/1/2017 0:00,Texarkana,X
10/1/2017 0:00,Traverse City,X
12/1/2017 0:00,Ponce,X
12/1/2017 0:00,Southern Oregon,X
